Generated by Android App for DCD
File Name:report_bldg 1947_Other-rd_O1.txt
Date:Fri Nov 15 10:31:00 EST 2013
Device Number: 
Hammer Mass: 8.0 Kg
Site/Network: bldg 1947
Feature/Branch: Other-rd
Reading/Section: O1
GPS Long/Lat: 35 9 48.5945590360933 N 79 0 21.64721806664147 W
GPS MGRS: 17SPU8160492995
GPS UTM: 17S 681604.3796564331 3892995.0214203047
Soil Type: 
Soil Classification: 
Soil Description: 

  1, 42,4.43959799106024,?,67908.11945609782
  2, 35,12.22587805015568,?,106142.15694951442
  3, 27,24.924774674128553,?,145304.6816478305
  4, 27,24.924774674128553,?,145304.6816478305
  5, 48,39.25124630558592,?,177514.60518118602
  6, 26,100.0,?,268103.4976055752
  7, 29,48.14336548813792,?,194237.94240461785
  8, 26,48.14336548813792,?,194237.94240461785
  9, 26,48.14336548813792,?,194237.94240461785
 10, 33,39.25124630558592,?,177514.60518118602
 10, 33,28.43950715760824,?,154006.44746972295
 10, 31,33.02729812187141,?,164503.646960488
 10, 26,48.14336548813792,?,194237.94240461785
 10, 27,39.25124630558592,?,177514.60518118602
 10, 32,22.150465190852163,?,137938.15011511417
  2, 27,16.510730814472893,?,121176.60171043627
 10, 26,28.43950715760824,?,154006.44746972295
 10, 37,18.059256061017706,?,126062.06570135868
 10, 36,11.467734924870369,?,103188.1760146302
 10, 45,19.907789687778997,?,131596.56211980397
 10, 50,18.059256061017706,?,126062.06570135868
 10, 33,13.084841638144422,?,109367.73838718879
 10, 29,15.195655932626098,?,116822.32867588321
 10, 29,24.924774674128553,?,145304.6816478305
