Generated by Android App for DCD
File Name:report_Dare RWY29_Runway-RWY 29_R1.txt
Date:Thu Nov 07 09:39:04 EST 2013
Device Number: 
Hammer Mass: 8.0 Kg
Site/Network: Dare RWY29
Feature/Branch: Runway-RWY 29
Reading/Section: R1
GPS Long/Lat: null
GPS MGRS: null
GPS UTM: null
Soil Type: 
Soil Classification: 
Soil Description: 

  1,171,0.921355447209198,?,33948.96808092279
  2, 45,14.065677036363256,?,112909.3517072002
  3, 27,85.31139551575474,?,249967.6241009965
  4, 26,100.0,?,268103.4976055752
  5, 29,100.0,?,268103.4976055752
  6, 27,100.0,?,268103.4976055752
  7, 27,85.31139551575474,?,249967.6241009965
  8, 32,48.14336548813792,?,194237.94240461785
  9, 30,39.25124630558592,?,177514.60518118602
 10, 26,39.25124630558592,?,177514.60518118602
 10, 26,28.43950715760824,?,154006.44746972295
 10, 34,12.22587805015568,?,106142.15694951442
 10, 27,16.510730814472893,?,121176.60171043627
 10, 31,6.238177879476061,?,78894.7788925066
 10, 27,7.2820798300193434,?,84464.74052274352
 10, 38,4.966211636999514,?,71348.56068812496
 10, 34,5.625050999899493,?,75376.89391470846
 10, 52,12.22587805015568,?,106142.15694951442
 10, 55,3.282287654108655,?,59441.62796794825
 10, 48,3.822897603605325,?,63574.81080218949
 10, 52,3.495095980208613,?,61111.00500005711
 10, 47,3.914112017852853,?,64239.19785663744
 10, 34,5.625050999899493,?,75376.89391470846
